Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
2;1;Campus de l'Esthétique et du SPA;Terminale;Lycéens de Terminale;F;Paris
0;;Campus Formations et Métiers;Autre formation du secondaire;Autres;F;Créteil
6;3;Campus Formations et Métiers;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
2;;Campus Formations et Métiers;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Campus Formations et Métiers;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
1;2;Campus Formations et Métiers;Terminale;Lycéens de Terminale;M;Créteil
0;;Campus Strat@Innov Paris;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;Campus Strat@Innov Paris;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
2;1;Campus Strat@Innov Paris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
4;2;Campus Strat@Innov Paris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Campus Strat@Innov Paris;BTS - BTSA - BTSM;Non scolarisés;M;Paris
0;;Campus Strat@Innov Paris;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
5;4;CEMEA ILE-DE-FRANCE-CFPES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Créteil
1;;CEMEA ILE-DE-FRANCE-CFPES;Formations diplômantes du travail social;Non scolarisés;F;Créteil
0;;CEMEA ILE-DE-FRANCE-CFPES;Terminale;Etudiants (réorientation, mise à niveau);F;Créteil
1;;CentraleSupélec;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
5;5;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
4;3;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
